datetime,season,holiday,workingday,casual,registered,count
2011/1/1 0:00,1,0,0,3,13,16
2011/1/1 1:00,1,0,0,8,32,40
2011/1/1 2:00,1,0,0,5,27,32
2011/1/1 3:00,1,0,0,3,10,13
2011/1/1 4:00,1,0,0,0,1,1
2011/1/1 5:00,1,0,0,0,1,1
2011/1/1 6:00,1,0,0,2,0,2
2011/1/1 7:00,1,0,0,1,2,3
2011/1/1 8:00,1,0,0,1,7,8
2011/1/1 9:00,1,0,0,8,6,14
2011/1/1 10:00,1,0,0,12,24,36
2011/1/1 11:00,1,0,0,26,30,56
2011/1/1 12:00,1,0,0,29,55,84
2011/1/1 13:00,1,0,0,47,47,94
2011/1/1 14:00,1,0,0,35,71,106
2011/1/1 15:00,1,0,0,40,70,110
2011/1/1 16:00,1,0,0,41,52,93
2011/1/1 17:00,1,0,0,15,52,67
2011/1/1 18:00,1,0,0,9,26,35
2011/1/1 19:00,1,0,0,6,31,37
2011/1/1 20:00,1,0,0,11,25,36
2011/1/1 21:00,1,0,0,3,31,34
2011/1/1 22:00,1,0,0,11,17,28
2011/1/1 23:00,1,0,0,15,24,39
2011/1/2 0:00,1,0,0,4,13,17
2011/1/2 1:00,1,0,0,1,16,17
2011/1/2 2:00,1,0,0,1,8,9
2011/1/2 3:00,1,0,0,2,4,6
2011/1/2 4:00,1,0,0,2,1,3
2011/1/2 6:00,1,0,0,0,2,2
2011/1/2 7:00,1,0,0,0,1,1
2011/1/2 8:00,1,0,0,0,8,8
2011/1/2 9:00,1,0,0,1,19,20
2011/1/2 10:00,1,0,0,7,46,53
2011/1/2 11:00,1,0,0,16,54,70
2011/1/2 12:00,1,0,0,20,73,93
2011/1/2 13:00,1,0,0,11,64,75
2011/1/2 14:00,1,0,0,4,55,59
2011/1/2 15:00,1,0,0,19,55,74
2011/1/2 16:00,1,0,0,9,67,76
2011/1/2 17:00,1,0,0,7,58,65
2011/1/2 18:00,1,0,0,10,43,53
2011/1/2 19:00,1,0,0,1,29,30
2011/1/2 20:00,1,0,0,5,17,22
2011/1/2 21:00,1,0,0,11,20,31
2011/1/2 22:00,1,0,0,0,9,9
2011/1/2 23:00,1,0,0,0,8,8
2011/1/3 0:00,1,0,1,0,5,5
2011/1/3 1:00,1,0,1,0,2,2
2011/1/3 4:00,1,0,1,0,1,1
2011/1/3 5:00,1,0,1,0,3,3
2011/1/3 6:00,1,0,1,0,30,30
2011/1/3 7:00,1,0,1,1,63,64
2011/1/3 8:00,1,0,1,1,153,154
2011/1/3 9:00,1,0,1,7,81,88
2011/1/3 10:00,1,0,1,11,33,44
2011/1/3 11:00,1,0,1,10,41,51
2011/1/3 12:00,1,0,1,13,48,61
2011/1/3 13:00,1,0,1,8,53,61
2011/1/3 14:00,1,0,1,11,66,77
2011/1/3 15:00,1,0,1,14,58,72
2011/1/3 16:00,1,0,1,9,67,76
2011/1/3 17:00,1,0,1,11,146,157
2011/1/3 18:00,1,0,1,9,148,157
2011/1/3 19:00,1,0,1,8,102,110
2011/1/3 20:00,1,0,1,3,49,52
2011/1/3 21:00,1,0,1,3,49,52
2011/1/3 22:00,1,0,1,0,20,20
2011/1/3 23:00,1,0,1,1,11,12
2011/1/4 0:00,1,0,1,0,5,5
2011/1/4 1:00,1,0,1,0,2,2
2011/1/4 2:00,1,0,1,0,1,1
2011/1/4 4:00,1,0,1,0,2,2
2011/1/4 5:00,1,0,1,0,4,4
2011/1/4 6:00,1,0,1,0,36,36
2011/1/4 7:00,1,0,1,2,92,94
2011/1/4 8:00,1,0,1,2,177,179
2011/1/4 9:00,1,0,1,2,98,100
