datetime,season,temp,atemp,humidity,windspeed
2011/1/1 0:00,1,9.84,14.395,81,0
2011/1/1 1:00,1,9.02,13.635,80,0
2011/1/1 2:00,1,9.02,13.635,80,0
2011/1/1 3:00,1,9.84,14.395,75,0
2011/1/1 4:00,1,9.84,14.395,75,0
2011/1/1 5:00,1,9.84,12.88,75,6.0032
2011/1/1 6:00,1,9.02,13.635,80,0
2011/1/1 7:00,1,8.2,12.88,86,0
2011/1/1 8:00,1,9.84,14.395,75,0
2011/1/1 9:00,1,13.12,17.425,76,0
2011/1/1 10:00,1,15.58,19.695,76,16.9979
2011/1/1 11:00,1,14.76,16.665,81,19.0012
2011/1/1 12:00,1,17.22,21.21,77,19.0012
2011/1/1 13:00,1,18.86,22.725,72,19.9995
2011/1/1 14:00,1,18.86,22.725,72,19.0012
2011/1/1 15:00,1,18.04,21.97,77,19.9995
2011/1/1 16:00,1,17.22,21.21,82,19.9995
2011/1/1 17:00,1,18.04,21.97,82,19.0012
2011/1/1 18:00,1,17.22,21.21,88,16.9979
2011/1/1 19:00,1,17.22,21.21,88,16.9979
2011/1/1 20:00,1,16.4,20.455,87,16.9979
2011/1/1 21:00,1,16.4,20.455,87,12.998
2011/1/1 22:00,1,16.4,20.455,94,15.0013
2011/1/1 23:00,1,18.86,22.725,88,19.9995
2011/1/2 0:00,1,18.86,22.725,88,19.9995
2011/1/2 1:00,1,18.04,21.97,94,16.9979
2011/1/2 2:00,1,17.22,21.21,100,19.0012
2011/1/2 3:00,1,18.86,22.725,94,12.998
2011/1/2 4:00,1,18.86,22.725,94,12.998
2011/1/2 6:00,1,17.22,21.21,77,19.9995
2011/1/2 7:00,1,16.4,20.455,76,12.998
2011/1/2 8:00,1,16.4,20.455,71,15.0013
2011/1/2 9:00,1,15.58,19.695,76,15.0013
2011/1/2 10:00,1,14.76,17.425,81,15.0013
2011/1/2 11:00,1,14.76,16.665,71,16.9979
2011/1/2 12:00,1,14.76,16.665,66,19.9995
2011/1/2 13:00,1,14.76,17.425,66,8.9981
2011/1/2 14:00,1,14.76,17.425,76,12.998
2011/1/2 15:00,1,13.94,16.665,81,11.0014
2011/1/2 16:00,1,13.94,16.665,71,11.0014
2011/1/2 17:00,1,13.94,16.665,57,12.998
2011/1/2 18:00,1,14.76,16.665,46,22.0028
2011/1/2 19:00,1,13.12,14.395,42,30.0026
2011/1/2 20:00,1,12.3,13.635,39,23.9994
2011/1/2 21:00,1,10.66,11.365,44,22.0028
2011/1/2 22:00,1,9.84,10.605,44,19.9995
2011/1/2 23:00,1,9.02,11.365,47,11.0014
2011/1/3 0:00,1,9.02,9.85,44,23.9994
2011/1/3 1:00,1,8.2,8.335,44,27.9993
2011/1/3 4:00,1,6.56,6.82,47,26.0027
2011/1/3 5:00,1,6.56,6.82,47,19.0012
2011/1/3 6:00,1,5.74,5.305,50,26.0027
2011/1/3 7:00,1,5.74,6.82,50,12.998
2011/1/3 8:00,1,5.74,6.06,50,19.0012
2011/1/3 9:00,1,6.56,6.82,43,26.0027
2011/1/3 10:00,1,7.38,8.335,43,16.9979
2011/1/3 11:00,1,8.2,9.09,40,22.0028
2011/1/3 12:00,1,9.02,10.605,35,19.9995
2011/1/3 13:00,1,9.84,10.605,35,19.0012
2011/1/3 14:00,1,10.66,12.12,30,19.0012
2011/1/3 15:00,1,10.66,12.12,30,16.9979
2011/1/3 16:00,1,10.66,12.12,30,16.9979
2011/1/3 17:00,1,9.84,11.365,30,15.0013
2011/1/3 18:00,1,9.84,12.88,32,7.0015
2011/1/3 19:00,1,8.2,12.88,47,0
2011/1/3 20:00,1,8.2,11.365,47,7.0015
2011/1/3 21:00,1,7.38,9.85,64,8.9981
2011/1/3 22:00,1,5.74,7.575,69,8.9981
2011/1/3 23:00,1,7.38,10.605,55,7.0015
2011/1/4 0:00,1,6.56,9.09,55,7.0015
2011/1/4 1:00,1,6.56,9.09,59,7.0015
2011/1/4 2:00,1,5.74,7.575,63,8.9981
2011/1/4 4:00,1,5.74,9.09,63,6.0032
2011/1/4 5:00,1,4.92,7.575,68,7.0015
2011/1/4 6:00,1,4.92,7.575,74,7.0015
2011/1/4 7:00,1,4.92,7.575,74,8.9981
2011/1/4 8:00,1,5.74,7.575,69,11.0014
2011/1/4 9:00,1,6.56,7.575,64,15.0013
2011/1/4 10:00,1,6.56,6.82,69,22.0028
2011/1/4 11:00,1,9.02,10.605,51,19.9995
2011/1/4 12:00,1,9.02,11.365,51,11.0014
2011/1/4 13:00,1,9.84,11.365,56,12.998
2011/1/4 14:00,1,10.66,12.88,52,15.0013
2011/1/4 15:00,1,11.48,13.635,52,16.9979
2011/1/4 16:00,1,12.3,14.395,49,16.9979
2011/1/4 17:00,1,11.48,13.635,48,15.0013
2011/1/4 18:00,1,10.66,12.88,48,12.998
2011/1/4 19:00,1,9.84,12.88,48,7.0015
2011/1/4 20:00,1,9.84,12.88,48,7.0015
2011/1/4 21:00,1,9.02,13.635,64,0
2011/1/4 22:00,1,9.02,12.88,64,6.0032
2011/1/4 23:00,1,8.2,11.365,69,6.0032
2011/1/5 0:00,1,8.2,12.88,64,0
2011/1/5 1:00,1,6.56,9.85,74,6.0032
2011/1/5 2:00,1,6.56,9.85,74,6.0032
2011/1/5 4:00,1,9.84,11.365,48,15.0013
2011/1/5 5:00,1,9.02,11.365,47,11.0014
2011/1/5 6:00,1,8.2,9.85,47,15.0013
2011/1/5 7:00,1,7.38,9.09,43,12.998
2011/1/5 8:00,1,8.2,9.09,40,19.9995
2011/1/5 9:00,1,9.02,9.85,37,22.0028
2011/1/5 10:00,1,9.02,9.85,37,22.0028
2011/1/5 11:00,1,10.66,11.365,33,22.0028
2011/1/5 12:00,1,10.66,11.365,33,22.0028
2011/1/5 13:00,1,11.48,12.88,30,19.9995
2011/1/5 14:00,1,12.3,14.395,28,12.998
2011/1/5 15:00,1,12.3,14.395,28,12.998
2011/1/5 16:00,1,12.3,15.91,28,6.0032
2011/1/5 17:00,1,9.84,11.365,38,12.998
2011/1/5 18:00,1,9.84,12.12,38,8.9981
2011/1/5 19:00,1,9.84,12.88,38,7.0015
2011/1/5 20:00,1,9.02,11.365,47,11.0014
2011/1/5 21:00,1,8.2,9.85,51,12.998
2011/1/5 22:00,1,7.38,9.85,55,8.9981
2011/1/5 23:00,1,8.2,12.88,47,0
2011/1/6 0:00,1,7.38,12.12,55,0
2011/1/6 1:00,1,6.56,11.365,64,0
2011/1/6 2:00,1,6.56,11.365,64,0
2011/1/6 4:00,1,6.56,9.85,64,6.0032
2011/1/6 5:00,1,5.74,9.09,69,6.0032
2011/1/6 6:00,1,5.74,8.335,63,7.0015
2011/1/6 7:00,1,6.56,11.365,59,0
2011/1/6 8:00,1,6.56,11.365,59,0
2011/1/6 9:00,1,7.38,12.12,51,0
2011/1/6 10:00,1,8.2,12.88,47,0
2011/1/6 11:00,1,9.02,12.88,44,6.0032
2011/1/6 12:00,1,10.66,14.395,35,0
2011/1/6 13:00,1,10.66,13.635,35,7.0015
2011/1/6 14:00,1,11.48,13.635,36,11.0014
2011/1/6 15:00,1,11.48,13.635,36,0
2011/1/6 16:00,1,10.66,12.88,38,11.0014
